Population_Ethnicity,Population_Percentage,,,Source
Caucasian,42.12,,,https://studentdata.washington.edu/wp-content/uploads/sites/3/2018/04/Quick_Stats_Seattle_Spr2018.pdf
Asian,26.42,,,
Latino,9.92,,,
Two or more races,9.22,,,
Black/African,2.82,,,
Prefer not to answer,2.92,,,
Pacific Islander,2.32,,,
American Indian/Alaska Native,2.22,,,
